Имя,Никнейм/Название,Платформа,Ссылка,Аудитория,Описание
Екатерина Усманова,@usmanovakate,Instagram,https://instagram.com/usmanovakate,3.7M,"Чемпионка по фитнес-бикини, онлайн-университет"
Алина Шпак,@alishkashpak,Instagram,https://instagram.com/alishkashpak,1.2M,"Тренер по дыхательной гимнастике, метод бодифлекс"
Роман Капа,@roman.kapa,Instagram,https://instagram.com/roman.kapa,888K,"Фитнес-блогер, мотивация, лайф-контент"
Алексей Столяров,@stoliarovaleksey,Instagram,https://instagram.com/stoliarovaleksey,781K,Трюки и спортивные челленджи
Мари Клетанина,@kletanina.mary,Instagram,https://instagram.com/kletanina.mary,528K,"Функциональные тренировки, ЗОЖ"
Ольга,@blondinka_na_pp_,Instagram,https://instagram.com/blondinka_na_pp_,477K,"Фитнес-кондитер, спортивный нутрициолог"
Анастасия Ашаева,@aschaeva.nastya,Instagram,https://instagram.com/aschaeva.nastya,324K,"Фитнес-тренер, персональные тренировки"
Иван Матюшов,@matyushovivan,Instagram,https://instagram.com/matyushovivan,244K,"Тренер по плаванию, авторские школы"
Денис Измайлов,@izmaylov_91,Instagram,https://instagram.com/izmaylov_91,212K,"Мастер спорта по боксу, фитнес-тренер"
Ева Ярова,@evayvarova,Instagram,https://instagram.com/evayvarova,208K,"Фитнес-инструктор, танцевальные направления"
Алена Кумбаруля,@kumbarulya,Instagram,https://instagram.com/kumbarulya,194K,"Хореограф, участник шоу 'Танцы'"
Дмитрий Киман,@dmitry.kiman,Instagram,https://instagram.com/dmitry.kiman,182K,Педагог танцевальной студии
Кристина Кулакова,@kkulakovaa,Instagram,https://instagram.com/kkulakovaa,146K,"Танцы 'High heels', мини-уроки"
Анна Куликова,@coolikova_ann,Instagram,https://instagram.com/coolikova_ann,137K,"Видео-тренировки, марафоны похудения"
Дмитрий Никифоров,@nikiforov_team_ifbb,Instagram,https://instagram.com/nikiforov_team_ifbb,134K,"Персональный тренер, бодибилдинг"
Александра Шеклеина,@alex_shekleina,Instagram,https://instagram.com/alex_shekleina,112K,"Фитнес-коуч, 'умный' фитнес"
Мэри Латто,@marilatto,Instagram,https://instagram.com/marilatto,104K,"Танцор, хореограф, танцевальная команда"
Дарья,@_darits_,Instagram,https://instagram.com/_darits_,93.2K,"Чемпионат по фитнес-бикини, тренер по позированию"
Кира,@kkifood,Instagram,https://instagram.com/kkifood,88.8K,"Блог о полезной еде, РПП опыт"
Марина Харина,@kharinamarina,Instagram,https://instagram.com/kharinamarina,80.9K,Персональный тренер йоги и растяжки
Алина Майорова,@_alinamayorova,Instagram,https://instagram.com/_alinamayorova,75.9K,"Помощь в похудении, видео-комплексы"
Эллада Яблочная,@yablackmamba,Instagram,https://instagram.com/yablackmamba,72.7K,"Персональный тренер, нутрициолог"
Алина Орлова,@_alina_orlova_,Instagram,https://instagram.com/_alina_orlova_,59.7K,"Программы тренировок, разбор тренажеров"
Яна,@yana.sportee,Instagram,https://instagram.com/yana.sportee,39.8K,"Интуитивное питание, марафоны"
Анастасия Головина,@golovina_1_,Instagram,https://instagram.com/golovina_1_,39.7K,"Спорт более 6 лет, 1000+ девушек"
Ирина Рыкова,@i_rykova_,Instagram,https://instagram.com/i_rykova_,38.9K,"Партер, растяжка, танцы"
Екатерина Княгинина,@katerina.knyaginina,Instagram,https://instagram.com/katerina.knyaginina,38K,Женский тренер и нутрициолог
Кристина Вертиева,@kristina_vertieva,Instagram,https://instagram.com/kristina_vertieva,37.3K,"Онлайн-тренер, чемпионка России"
Валерия,@vvaiberx,Instagram,https://instagram.com/vvaiberx,37.2K,"Тренер по фитнесу, бренд спортивной одежды"
Никита Москвин,@nikita__moskvin,Instagram,https://instagram.com/nikita__moskvin,28K,"Участник шоу 'Титаны', Men's Physique"
Елизавета Громова,@kto_takaya,Instagram,https://instagram.com/kto_takaya,25K,"Популярная фитоняшка, полезные советы"
Анна,@calipsodellmar,Instagram,https://instagram.com/calipsodellmar,22K,Профессиональный тренер с 10-летним стажем
Валерия Гузненкова,@guznenkova,Instagram,https://instagram.com/guznenkova,18K,"Мотиватор, правильное питание"
Юна -Фея,@yuna_feya,Instagram,https://instagram.com/yuna_feya,15K,"Weight loss, healthy recipes"
Софья Сафронова,@sofasofit,Instagram,https://instagram.com/sofasofit,12K,"Safe workouts, hernias, diastasis"
Андрей Луценко,@andrei_lutsenko,Instagram,https://instagram.com/andrei_lutsenko,11K,"Powerlifting, arm wrestling"
Анастасия Давлетова,@anastasia_davletova,Instagram,https://instagram.com/anastasia_davletova,9K,"Fitness, women's empowerment"
Егор Пенкин,@egorpenkin,Instagram,https://instagram.com/egorpenkin,8K,Healthy Future online school
Марина Кострова,@marina_kostrova_fit,Instagram,https://instagram.com/marina_kostrova_fit,7K,"Functional training, women's health"
Владимир Олефиренко,@vladimir.olefirenko,Instagram,https://instagram.com/vladimir.olefirenko,6K,"Transformation, weight loss"
Гога Тупурия,@goga_tupuria,Instagram,https://instagram.com/goga_tupuria,5K,"Strength training, wrestling"
Виктория Шмидт,@victoria_schmidt_fit,Instagram,https://instagram.com/victoria_schmidt_fit,4K,Fitness and food blogger
Наташа Зеленова,@natasha_zelenova,Instagram,https://instagram.com/natasha_zelenova,3K,"Lifestyle, humor, weight loss"
Александр Айрон,@alexander_iron,Instagram,https://instagram.com/alexander_iron,2.5K,"Humor, bodybuilding"
Виктор Блуд,@victor_blud,Instagram,https://instagram.com/victor_blud,2K,"Strength training, fitness"
Полина Симба,@polinkasimba,Instagram,https://instagram.com/polinkasimba,1.8K,"Fitness trainer, workouts"
Алия Еникеева,@enikeeva_aliya,Instagram,https://instagram.com/enikeeva_aliya,1.5K,Fitness instructor
Елена Санжаровская,@sanzhlena,Instagram,https://instagram.com/sanzhlena,1.2K,"25+ лет практики, эксперт"
Татьяна Федорищева,@tanyatgym,Instagram,https://instagram.com/tanyatgym,1K,"Marathon TGYM, украинский блогер"
Максим Ярошенко,@maxryvok,Instagram,https://instagram.com/maxryvok,900,"18 лет стажа, KVADRAT Fitness"
Аманда Биск,@amandabisk,Instagram,https://instagram.com/amandabisk,800,Freshbodyfitmind программа
Гидеон Аканде,@getfitwithgiddy,Instagram,https://instagram.com/getfitwithgiddy,700,Men's Health эксперт
Мелисса Алькантара,@fitgurlmel,Instagram,https://instagram.com/fitgurlmel,600,Тренер Ким Кардашьян
